>
### 时间  
2025年5月23日  
### 地点  
中国北京  
### 行业  
贸易、投资、数字化技术、人工智能、智能制造、绿色低碳转型  
### 事件主体  
2025年全球贸易投资促进峰会（由中国贸促会主办）  
### 事件客体  
- 各国政府及国际组织（如新开发银行、国际中小企业理事会）  
- 多国企业代表（如中国美国商会、马来西亚—中国商务理事会）  
- 中外嘉宾（来自约50个国家和地区的800余名代表）  
### 主体行为  
- 举办峰会，探讨数智化技术对全球经济复苏的作用  
- 发布《2025年全球贸易投资促进峰会北京倡议》  
- 倡导多边主义、公平贸易、技术协同创新  
- 推动数字贸易生态系统建设  
### 客体反应  
- 新开发银行行长罗塞芙：批评部分国家政策干扰贸易秩序，呼吁共享创新红利  
- 中国美国商会会长何迈可：表达对中美合作的期待  
- 国际中小企业理事会主席金基燦：强调政策协同对中小微企业发展的关键性  
- 马来西亚—中国商务理事会主席卢成全：肯定中国技术对马来西亚产业升级的推动  
### 涉及政策法案条款  
- 未明确提及具体条款，仅提及“部分国家政策干扰国际正常贸易秩序”  
### 事件情感倾向  
+3（整体积极，强调合作与共赢，对技术赋能和全球发展持乐观态度）  
### 事件影响范围  
全球（涉及约50个国家和地区，涵盖贸易、投资、数字技术等多领域）  
### 未来可能影响  
- 正面：  
  - 推动全球数字技术合作与产业链协同  
  - 促进新兴市场国家产业现代化与就业增长  
  - 加速绿色低碳转型与可持续发展  
- 负面：  
  - 技术壁垒可能阻碍部分国家获取数智红利  
  - 政策分歧可能影响全球贸易自由化进程  
### 其他关键细节  
- 关键数据：  
  - 峰会参与方：约50个国家和地区，800余名中外嘉宾  
  - 峰会成果：发布《2025年全球贸易投资促进峰会北京倡议》  
- 专家观点：  
  - 罗塞芙：技术限制壁垒阻碍全球南方国家获益，新开发银行将提供解决方案  
  - 金基燦：呼吁构建包容性数字贸易生态系统，举例非洲、亚洲、拉美地区的技术应用  
  - 霍飞明：以汽车产业为例，提出链上企业合作与新技术应用  
  - 奚国华：强调中国市场的确定性与包容性，承诺提供综合服务助力外资企业  
### 补充说明  
- 峰会聚焦“数智化”对全球经济、产业、社会的变革作用，强调技术普惠与合作机制  
- 中国通过技术输出（如电动汽车、消费电子）与多国合作，推动数字产业集群发展

