>
### 时间  
2025年6月19日  
### 地点  
上海  
### 行业  
科技创新、金融、科技企业、国际贸易、资本市场  
### 事件主体  
1. 中国进出口银行（行长王春英）  
2. 中国证监会主席吴清  
3. 中国银行副董事长、行长张辉  
4. 中国人寿保险（集团）公司董事长蔡希良  
5. 上海交通大学上海高级金融学院教授汪勇祥  
### 事件客体  
1. 新兴科技企业（人工智能、生物科技、量子技术、商业航天等领域）  
2. 科技创新成果（航空航天、量子科技、人工智能等）  
3. 科技金融体系（资本市场、保险资金、政府引导基金等）  
### 主体行为  
1. 中国进出口银行：支持大型技术装备出口、跨境电商、海外仓等外贸新模式，推动“一带一路”项目（如中老铁路、乌兹别克斯坦光伏电站等）。  
2. 吴清：呼吁优化创新链、产业链、资金链、人才链衔接机制，完善无形资产估值定价体系。  
3. 张辉：提出需解决科技金融中“0到1”“1到N”不确定性，推动多类型金融机构协同服务。  
4. 蔡希良：探索S基金接力投资模式，实现政府引导基金与保险资金的“投早、投小”突破。  
5. 汪勇祥：建议提高股权融资比例，构建以资本市场为枢纽的创新生态。  
### 客体反应  
1. 新兴科技企业：需金融支持跨越“死亡之谷”，推动科技成果产业化。  
2. 资本市场：需完善风险共担、利益共享机制，提供全链条金融服务。  
3. 保险资金：对早期科技企业风险容忍度低，需创新投资模式（如S基金）。  
### 涉及政策法案条款  
1. “一带一路”倡议（中国进出口银行支持项目）  
2. 资本市场制度机制（吴清提及创新链、产业链、资金链、人才链衔接）  
3. 政府产业引导基金（蔡希良提及S基金接力投资模式）  
### 事件情感倾向  
+3（积极探讨金融支持科技创新的路径，强调政策引导与市场协同）  
### 事件影响范围  
国家层面（涉及国内创新体系、国际产能合作与双循环）  
### 未来可能影响  
正面：  
- 促进科技创新成果转化与产业化  
- 推动国际产能合作与产业链深度融合  
- 优化金融体系支持长期资本与耐心资本  
负面：  
- 金融资源错配风险（因预期差异）  
- 科技企业早期风险高导致保险资金投资障碍  
### 其他关键细节  
1. 关键数据：中国进出口银行支持项目累计带动投资超4000亿美元；  
2. 专家观点：  
   - 汪勇祥：提高股权融资比例，构建以资本市场为枢纽的创新生态；  
   - 吴清：资本市场需提供全链条服务，激发企业家精神与生产要素集聚；  
   - 张辉：需打通资金供给渠道，解决科技金融中“不确定性”与“预期确定性”矛盾；  
3. S基金模式：中国人寿通过政府引导基金孵化科技企业，保险资金在成熟阶段介入，实现“投早、投小”突破。

