>
### 时间  
2023年上半年  
### 地点  
- 北京  
- 广东（含深圳、广东自贸试验区）  
- 湖北宜昌  
- 海南海口  
- 全国范围（提及RCEP成员国）  
### 行业  
服务贸易（含知识密集型服务、旅行服务、数字贸易、服务外包等）  
### 事件主体  
- 中国（商务部、地方政府如北京、深圳、宜昌等）  
- 中国服务贸易相关企业与机构  
- RCEP成员国  
### 事件客体  
- 外国游客（如加拿大游客皮埃尔）  
- 服务贸易相关行业（如金融、教育、医疗、文化等）  
- 服务外包企业与人才  
- RCE、数字贸易市场等  
### 主体行为  
1. 扩大服务业开放：实施跨境服务贸易负面清单、推动电信、教育、医疗等领域开放。  
2. 优化免签政策：扩大免签国数量（如法国、德国、意大利等），实施144小时过境免签。  
3. 推动创新与数字化：发展数字贸易、支持离岸贸易、建设数字服务出口基地。  
4. 政策试点与推广：开展服务贸易创新发展试点（如北京、上海、广东自贸试验区）。  
5. 促进服务外包：支持企业承接服务外包合同，推动产教融合。  
### 客体反应  
1. 外国游客增长：北京口岸免签入境外国游客同比增长10倍，外国游客对服务便利度表示认可。  
2. 服务贸易增长：旅行服务进出口规模达9617.1亿元，增长47.7%；知识密集型服务贸易进出口规模达14176.2亿元，增长3.7%。  
3. 企业与人才发展：广东自贸试验区开放6项特别安排，宜昌市服务外包产业吸纳近15万从业人员。  
4. 政策认可：专家认为负面清单管理模式透明度高、风险可控，推动服务贸易高质量发展。  
### 涉及政策法案条款  
1. 144小时过境免签政策  
2. 跨境服务贸易负面清单（全国版及自贸试验区版）  
3. RCEP服务贸易规则（如数字贸易、文化贸易、中医药合作）  
4. 服务贸易创新发展试点方案（如《上海市深化服务贸易创新发展试点实施方案》）  
### 事件情感倾向  
+4（中国视角：数据呈现积极增长，政策优化与开放力度被肯定，专家观点支持发展）  
### 事件影响范围  
- 国家层面：中国服务贸易规模位居世界前列，影响RCEP成员国及全球数字贸易。  
- 区域层面：北京、广东、海南、宜昌等城市及自贸试验区。  
### 未来可能影响  
正面影响：  
1. 服务贸易规模持续扩大，知识密集型服务出口增长（如知识产权使用费、数字文化产品）。  
2. 数字化转型推动跨境服务贸易新模式（如数据贸易、跨境电商平台）。  
3. 服务外包产业带动就业与人才培养（如宜昌市产教融合）。  
负面影响：  
1. 服务贸易逆差规模仍较大，传统服务贸易（如旅行、运输）占比高。  
2. 中西部地区服务贸易发展滞后，区域不平衡问题需解决。  
### 其他关键细节  
1. 关键数据：  
   - 服务贸易进出口总额近3.6万亿元，同比增长14%。  
   - 旅行服务进出口规模达9617.1亿元，增长47.7%。  
   - 服务外包合同额1781亿美元，执行额1209.8亿美元。  
   - 宜昌市服务外包累计吸纳从业人员近15万人。  
2. 专家观点：  
   - 蓝庆新：需提升数字技术与知识密集型服务融合，拓展跨境交付、数据贸易等新模式。  
   - 商务部：服务贸易与货物贸易、数字贸易将成为“三大支柱”，推动中国贸易强国建设。  
3. 具体措施：  
   - 海口市开展跨境贸易便利化专项行动，推动服务贸易与货物贸易融合发展。  
   - 深圳培育数字贸易经营主体，建设数据交易所等交易平台。  
   - 宜昌市推动中高职院校开设服务外包类专业，覆盖151个专业，学生达3.8万人。

