>
### 时间  
2025年1月21日  
### 地点  
瑞士达沃斯  
### 行业  
国际贸易、经济政策、全球化  
### 事件主体  
- 欧盟委员会主席冯德莱恩  
- 德国总理朔尔茨  
- 瑞士联邦主席卡琳·凯勒-祖特尔  
- 世界贸易组织总干事伊维拉  
- 世界经济论坛创始人施瓦布  
### 事件客体  
- 全球经济增长格局  
- 自由贸易与经济合作  
- 全球化逆风、地缘政治危机、气候变化等挑战  
- 世界贸易组织规则体系  
- 人工智能与全球供应链  
### 主体行为  
1. 呼吁维护自由贸易以促进全球增长  
2. 提出避免恶性竞争，更新规则体系  
3. 强调保障安全与促进创新、繁荣的平衡  
4. 呼吁国际社会加强经济合作应对共同挑战  
5. 呼吁维持宏观经济稳定，应对通货膨胀和公共债务  
6. 倡导构建健康、可持续的全球供应链  
### 客体反应  
- 欧盟委员会主席冯德莱恩：强调“打破全球经济的纽带对任何人都没有好处”  
- 德国总理朔尔茨：强调自由贸易对繁荣的重要性  
- 瑞士联邦主席凯勒-祖特尔：肯定自由贸易对减贫和繁荣的贡献  
- 世界贸易组织总干事伊维拉：呼吁保持贸易开放性和可预测性  
- 施瓦布：呼吁加强“智能时代的合作”  
### 涉及政策法案条款  
无具体政策法案条款提及  
### 事件情感倾向  
+3（中国视角：支持维护自由贸易以促进全球增长，同时关注经济安全与合作）  
### 事件影响范围  
全球（涉及多国领导人、国际组织及全球经济议题）  
### 未来可能影响  
- 正面：推动国际贸易合作、缓解经济碎片化、促进技术创新与全球供应链韧性  
- 负面：可能加剧地缘政治竞争、强化经济制裁与出口管制的使用  
### 其他关键细节  
1. 数据：  
   - 超半数受访首席经济学家不看好2025年经济走势  
   - 全球公共债务和高通胀拖累经济增长  
   - 各地区经济复苏呈现不平衡特点  
2. 专家观点：  
   - 伊维拉：人工智能可克服不平衡问题，提升生产效率和贸易增长  
   - 凯勒-祖特尔：强调健康公共财政对金融市场稳定的重要性  
   - 冯德莱恩：呼吁在脱碳与竞争力间寻求平衡  
3. 其他：  
   - 世界经济论坛2025年年会聚焦“重塑全球经济增长格局”  
   - 提及“智能时代”技术变革带来的风险与机遇

